Date,Time,Counted by:,Site,Volume Filtered (ml),Frames counted,Volume counted,Species, Cells Counted , Cells/L ,SRC_method
15/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,6,57,1428.571429
15/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protocentrum micans,4,38,952.3809524
16/02/2017,08:00,Lorna,Primary sump,5000,20,0.02,Ceratium furca,1,10,250
16/02/2017,08:00,Lorna,Primary sump,5000,20,0.02,Protoperidinium conicum,1,10,250
17/02/2017,08:00,Lorna,Primary sump,5000,20,0.02,Chaetoceros sp.,1,10,250
17/02/2017,08:00,Lorna,Primary sump,5000,20,0.02,Gonyaulax polygramma,2,20,500
17/02/2017,08:00,Lorna,Primary sump,5000,20,0.02,Protoperidinium conicum,13,130,3250
17/02/2017,08:00,Lorna,Primary sump,5000,20,0.02,Protocentrum micans,1,10,250
20/02/2017,08:00,Lorna,Primary sump,5000,24,0.024,Gonyaulax polygramma,47,392,9791.666667
20/02/2017,08:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium conicum,12,100,2500
20/02/2017,08:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium diabolum,1,8,208.3333333
20/02/2017,08:00,Lorna,Primary sump,5000,24,0.024,Protocentrum micans,1,8,208.3333333
21/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium furca,8,76,1904.761905
21/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Gonyaulax polygramma,30,286,7142.857143
21/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,29,276,6904.761905
21/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium diabolum,1,10,238.0952381
21/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protocentrum micans,2,19,476.1904762
21/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium fusus,6,57,1428.571429
21/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium oceanicum,4,38,952.3809524
22/02/2017,08:00,Lorna,Primary sump,5000,19,0.019,Ceratium furca,1,11,263.1578947
22/02/2017,08:00,Lorna,Primary sump,5000,19,0.019,Gonyaulax polygramma,3,32,789.4736842
22/02/2017,08:00,Lorna,Primary sump,5000,19,0.019,Protoperidinium conicum,4,42,1052.631579
22/02/2017,08:00,Lorna,Primary sump,5000,19,0.019,Protocentrum micans,1,11,263.1578947
23/02/2017,08:00,Lorna,Primary sump,5000,24,0.024,Ceratium furca,2,17,416.6666667
23/02/2017,08:00,Lorna,Primary sump,5000,24,0.024,Gonyaulax polygramma,4,33,833.3333333
23/02/2017,08:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium conicum,2,17,416.6666667
24/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium furca,2,19,476.1904762
24/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Gonyaulax polygramma,2,19,476.1904762
27/02/2017,08:00,Lorna,Primary sump,5000,1,0.001,Pseudo-nitzschia australis,1,200,5000
27/02/2017,08:00,Lorna,Primary sump,5000,1,0.001,Gonyaulax polygramma,4,800,20000
27/02/2017,08:00,Lorna,Primary sump,5000,1,0.001,Protoperidinium conicum,6,1200,30000
28/02/2017,08:00,Lorna,Primary sump,5000,1,0.001,Ceratium furca,2,400,10000
28/02/2017,08:00,Lorna,Primary sump,5000,1,0.001,Gonyaulax Spinifera,2,400,10000
28/02/2017,08:00,Lorna,Primary sump,5000,1,0.001,Protoperidinium conicum,2,400,10000
01/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Gonyaulax polygramma,31,6200,155000
01/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Protoperidinium conicum,39,7800,195000
01/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Protocentrum micans,2,400,10000
01/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Protoperidinium oceanicum,5,1000,25000
02/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Ceratium furca,21,4200,105000
02/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Gonyaulax polygramma,31,6200,155000
02/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Protoperidinium conicum,5,1000,25000
02/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Protoperidinium oceanicum,2,400,10000
03/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Ceratium furca,45,9000,225000
03/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Gonyaulax polygramma,33,6600,165000
03/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Protoperidinium conicum,11,2200,55000
03/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Pyrophacus sp.,1,200,5000
03/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Protoperidinium oceanicum,6,1200,30000
06/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Rhizosolenia sp.,1,200,5000
06/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Ceratium furca,4,800,20000
06/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Gonyaulax polygramma,2,400,10000
06/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Protoperidinium conicum,4,800,20000
06/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Ceratium fusus,4,800,20000
07/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Ceratium furca,5,1000,25000
07/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Gonyaulax polygramma,2,400,10000
07/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Protoperidinium conicum,6,1200,30000
07/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Protocentrum micans,1,200,5000
07/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Ceratium fusus,3,600,15000
08/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Ceratium furca,43,8600,215000
