Date,Time,Counted by:,Site,Volume Filtered (ml),Frames counted,Volume counted,Species, Cells Counted , Cells/L ,,Yellow_block,RG_meth,SRC_method
13/06/2019,08:00:00,Pertunia,Primary sump,5000,45,0.045,Prorocentrum minimum,34,151,756,3777.777778,170,16777.77778
13/06/2019,08:00:00,Pertunia,Primary sump,5000,45,0.045,Coscinodiscus Granii,4,18,89,444.4444444,20,2000
13/06/2019,08:00:00,Pertunia,Primary sump,5000,45,0.045,Ceratium furca,1,4,22,111.1111111,5,444.4444444
13/06/2019,08:00:00,Pertunia,Primary sump,5000,45,0.045,Ceratium fusus,1,4,22,111.1111111,5,444.4444444
13/06/2019,08:00:00,Pertunia,Primary sump,5000,45,0.045,Prorocentrum sigmoides,1,4,22,111.1111111,5,444.4444444
13/06/2019,08:00:00,Pertunia,Primary sump,5000,45,0.045,Bacillaria sp.,1,4,22,111.1111111,5,444.4444444
13/06/2019,08:00:00,Pertunia,Primary sump,5000,45,0.045,Triceratium,1,4,22,111.1111111,5,444.4444444
13/06/2019,08:00:00,Pertunia,Primary sump,5000,45,0.045,Bright-welli,1,4,22,111.1111111,5,444.4444444
13/06/2019,08:00:00,Pertunia,Primary sump,5000,45,0.045,Melosira,1,4,22,111.1111111,5,444.4444444
26/01/2018,12:00:00,Nuette,Primary Sump,5000,40,0.04,Centric Diatoms,8,40,200,1000,40,5000
26/01/2018,12:00:00,Nuette,Primary Sump,5000,40,0.04,Ceratium furca,7,35,175,875,35,4375
26/01/2018,12:00:00,Nuette,Primary Sump,5000,40,0.04,Chaetocerus sp.,5,25,125,625,25,3125
26/01/2018,12:00:00,Nuette,Primary Sump,5000,40,0.04,Protoperidiium conicum,2,10,50,250,10,1250
26/01/2018,12:00:00,Nuette,Primary Sump,5000,40,0.04,Pseudo-nitzschia australis australis,2,10,50,250,10,1250
26/01/2018,12:00:00,Nuette,Primary Sump,5000,40,0.04,Rhizosolenia,2,10,50,250,10,1250
26/01/2018,12:00:00,Nuette,Primary Sump,5000,40,0.04,Ceratium tripos,1,5,25,125,5,625
25/01/2018,14:00:00,Nuette,Primary Sump,5000,30,0.03,Chaetoceros sp.,175,1 167,5 833,29166.66667,875,194500
25/01/2018,14:00:00,Nuette,Primary Sump,5000,30,0.03,Ceratium fusus,173,1 153,5 767,28833.33333,865,192166.6667
25/01/2018,14:00:00,Nuette,Primary Sump,5000,30,0.03,Astrionellaposis,36,240,1 200,6000,180,40000
25/01/2018,14:00:00,Nuette,Primary Sump,5000,30,0.03,Protoperidinium conicum,31,207,1 033,5166.666667,155,34500
25/01/2018,14:00:00,Nuette,Primary Sump,5000,30,0.03,Pseudo-nitzschia australis australis,30,200,1 000,5000,150,33333.33333
