Date,Time,Counted by,Site,Volume.Filtered.(ml),Frames.counted,CellsCounted,Cells/L,SRC_method
10/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
11/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
11/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
11/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
12/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
14/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
14/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
18/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
18/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
18/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
18/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
19/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
19/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
20/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
20/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
20/12/2018,14:00,Lorna,Primary sump,5000,20,1,50,250
20/12/2018,14:00,Lorna,Primary sump,5000,20,1,50,250
20/12/2018,14:00,Lorna,Primary sump,5000,20,1,50,250
21/12/2018,12:50,Lorna,Primary sump,5000,20,1,50,250
21/12/2018,12:50,Lorna,Primary sump,5000,20,1,50,250
21/12/2018,12:50,Lorna,Primary sump,5000,20,1,50,250
22/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
22/12/2018,15:40,Lorna,Primary sump,5000,20,1,50,250
22/12/2018,15:40,Lorna,Primary sump,5000,20,1,50,250
23/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
23/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
23/12/2018,15:00,Lorna,Primary sump,5000,20,1,50,250
23/12/2018,15:00,Lorna,Primary sump,5000,20,1,50,250
23/12/2018,15:00,Lorna,Primary sump,5000,20,1,50,250
23/12/2018,15:00,Lorna,Primary sump,5000,20,1,50,250
24/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
24/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
24/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
24/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
24/12/2018,12:23,Lorna,Primary sump,5000,20,1,50,250
24/12/2018,12:23,Lorna,Primary sump,5000,20,1,50,250
25/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
25/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
25/12/2018,13:41,Lorna,Primary sump,5000,20,1,50,250
25/12/2018,13:41,Lorna,Primary sump,5000,20,1,50,250
25/12/2018,13:41,Lorna,Primary sump,5000,20,1,50,250
25/12/2018,13:41,Lorna,Primary sump,5000,20,1,50,250
26/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
26/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
26/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
26/12/2018,13:39,Lorna,Primary sump,5000,20,1,50,250
26/12/2018,13:39,Lorna,Primary sump,5000,20,1,50,250
26/12/2018,13:39,Lorna,Primary sump,5000,20,1,50,250
26/12/2018,13:39,Lorna,Primary sump,5000,20,1,50,250
27/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
27/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
27/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
28/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
28/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
28/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
28/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
31/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
31/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
31/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
02/01/2019,08:00,Lorna,Primary sump,5000,20,1,50,250
02/01/2019,08:00,Lorna,Primary sump,5000,20,1,50,250
02/01/2019,08:00,Lorna,Primary sump,5000,20,1,50,250
03/01/2019,08:00,Lorna,Primary sump,5000,20,1,50,250
03/01/2019,08:00,Lorna,Primary sump,5000,20,1,50,250
03/01/2019,08:00,Lorna,Primary sump,5000,20,1,50,250
03/01/2019,08:00,Lorna,Primary sump,5000,20,1,50,250
04/01/2019,08:00,Lorna,Primary sump,5000,20,1,50,250
07/01/2019,08:00,Lorna,Primary sump,5000,20,1,50,250
07/01/2019,08:00,Lorna,Primary sump,5000,20,1,50,250
07/01/2019,08:00,Lorna,Primary sump,5000,20,1,50,250
07/01/2019,08:00,Lorna,Primary sump,5000,20,1,50,250
08/01/2019,08:00,Lorna,Primary sump,5000,20,1,50,250
09/01/2019,08:00,Lorna,Primary sump,5000,20,1,50,250
09/01/2019,08:00,Lorna,Primary sump,5000,20,1,50,250
09/01/2019,08:00,Lorna,Primary sump,5000,20,1,50,250
09/01/2019,08:00,Lorna,Primary sump,5000,20,1,50,250
10/01/2019,08:00,Lorna,Primary sump,5000,20,1,50,250
11/01/2019,12:24,Lorna,Primary sump,5000,20,1,50,250
15/01/2019,08:00,Lorna,Primary sump,5000,20,1,50,250
16/01/2019,08:00,Lorna,Primary sump,5000,20,1,50,250
17/01/2019,08:00,Lorna,Primary sump,5000,20,1,50,250
18/01/2019,08:00,Lorna,Primary sump,5000,20,1,50,250
21/01/2019,08:00,Lorna,Primary sump,5000,20,1,50,250
24/01/2019,08:00,Pertunia,Primary sump,5000,20,1,50,250
24/01/2019,08:00,Pertunia,Primary sump,5000,20,1,50,250
24/01/2019,15:09,Pertunia,Primary sump,5000,20,1,50,250
24/01/2019,15:09,Pertunia,Primary sump,5000,20,1,50,250
25/01/2019,08:16,Pertunia,Primary sump,5000,20,1,50,250
25/01/2019,10:41,Pertunia,Primary sump,5000,20,1,50,250
25/01/2019,12:23,Pertunia,Primary sump,5000,20,1,50,250
25/01/2019,12:23,Pertunia,Primary sump,5000,20,1,50,250
25/01/2019,12:23,Pertunia,Primary sump,5000,20,1,50,250
26/01/2019,08:36,Pertunia,Primary sump,5000,20,1,50,250
26/01/2019,08:36,Pertunia,Primary sump,5000,20,1,50,250
26/01/2019,13:47,Pertunia,Primary sump,5000,20,1,50,250
26/01/2019,13:47,Pertunia,Primary sump,5000,20,1,50,250
26/01/2019,16:52,Pertunia,Primary sump,5000,20,1,50,250
