Sample,Date,Time,Counted by,Site
532,28/02/2019,18:00,Pertunia,After Drumfilter
533,28/02/2019,21:10,Sarah,Primary sump
534,28/02/2019,21:10,Sarah,After Drumfilter
535,01/03/2019,01:00,Sarah,Primary sump
536,01/03/2019,01:00,Sarah,After Drumfilter
537,01/03/2019,04:00,Sarah,Primary sump 
538,01/03/2019,08:00,Pertunia,After Drumfilter
539,01/03/2019,08:00,Pertunia,Primary sump
540,01/03/2019,09:30,Pertunia,Primary sump 
541,01/03/2019,09:30,Pertunia,After Drumfilter
542,01/03/2019,11:30,Pertunia,Primary sump 
543,01/03/2019,11:30,Pertunia,After Drumfilter
544,01/03/2019,14:00,Pertunia,Primary sump 
545,01/03/2019,14:00,Pertunia,After Drumfilter
546,01/03/2019,17:50,Sarah,Primary sump 
547,01/03/2019,17:50,Sarah,After Drumfilter
548,01/03/2019,22:00,Sarah,Primary sump 
549,01/03/2019,22:00,Sarah,After Drumfilter
550,02/03/2019,02:00,Sarah,Primary sump 
551,02/03/2019,02:00,Sarah,After Drumfilter
552,02/03/2019,06:00,Sarah,Primary sump 
553,02/03/2019,10:00,Sarah,Primary sump 
554,02/03/2019,10:00,Sarah,After Drumfilter
555,02/03/2019,14:00,Sarah,Primary sump 
556,02/03/2019,14:00,Sarah,After Drumfilter
557,02/03/2019,18:00,Sarah,Primary sump 
558,02/03/2019,18:00,Sarah,After Drumfilter
559,02/03/2019,00:00,Sarah,Primary sump 
560,02/03/2019,00:00,Sarah,After Drumfilter
561,03/03/2019,06:00,Sarah,Primary sump 
562,03/03/2019,06:00,Sarah,After Drumfilter
563,03/03/2019,10:00,Lorna,Primary sump 
564,03/03/2019,10:00,Lorna,After Drumfilter
565,03/03/2019,14:00,Lorna,Primary sump 
566,03/03/2019,14:00,Lorna,After Drumfilter
567,03/03/2019,18:00,Sarah,Primary sump 
568,03/03/2019,18:00,Sarah,After Drumfilter
569,03/03/2019,00:00,Sarah,Primary sump 
570,04/03/2019,08:00,Pertunia,Primary sump
571,04/03/2019,08:00,Pertunia,After Drumfilter
572,04/03/2019,13:00,Pertunia,Primary sump
573,04/03/2019,13:00,Pertunia,After Drumfilter
574,04/03/2019,17:00,Pertunia,Primary sump
575,04/03/2019,17:00,Pertunia,After Drumfilter
576,05/03/2019,08:00,Sarah,Primary sump
577,05/03/2019,08:00,Sarah,After Drumfilter
578,05/03/2019,09:10,Sarah,Primary sump
579,05/03/2019,09:45,Sarah,Primary sump
580,05/03/2019,10:30,Sarah,Primary sump
581,05/03/2019,11:00,Sarah,Primary sump
582,05/03/2019,11:30,Sarah,Primary sump
583,05/03/2019,12:00,Sarah,Primary sump
584,05/03/2019,12:30,Sarah,Primary sump
585,05/03/2019,12:30,Sarah,After Drumfilter
586,05/03/2019,13:00,Sarah,Primary sump
587,05/03/2019,13:45,Sarah,Primary sump
588,05/03/2019,14:15,Sarah,Primary sump
589,05/03/2019,14:15,Sarah,After Drumfilter
590,05/03/2019,15:00,Sarah,Primary sump
591,05/03/2019,15:00,Sarah,After Drumfilter
592,05/03/2019,16:00,Sarah,Primary sump
593,05/03/2019,16:00,Sarah,After Drumfilter
594,05/03/2019,17:00,Sarah,Primary sump
595,05/03/2019,17:00,Sarah,After Drumfilter
596,05/03/2019,20:00,Pertunia,Primary sump
597,05/03/2019,20:00,Pertunia,After Drumfilter
598,05/03/2019,22:00,Pertunia,Primary sump
599,05/03/2019,22:00,Pertunia,After Drumfilter
600,05/03/2019,00:00,Pertunia,Primary sump
601,05/03/2019,00:00,Pertunia,After Drumfilter
602,06/03/2019,02:00,Pertunia,Primary sump
603,06/03/2019,02:00,Pertunia,After Drumfilter
604,06/03/2019,04:00,Pertunia,Primary sump
605,06/03/2019,04:00,Pertunia,After Drumfilter
606,06/03/2019,07:44,Lorna,Primary sump
607,06/03/2019,07:44,Lorna,After Drumfilter
608,06/03/2019,10:30,Sarah,Primary sump
609,06/03/2019,10:30,Sarah,After Drumfilter
610,06/03/2019,12:00,Sarah,Primary sump
611,06/03/2019,12:00,Sarah,After Drumfilter
612,06/03/2019,13:30,Sarah,Primary sump
613,06/03/2019,15:00,Sarah,Primary sump
614,06/03/2019,16:00,Lorna,Primary sump
615,06/03/2019,16:00,Lorna,After Drumfilter
616,06/03/2019,17:00,Sarah,Primary sump
617,06/03/2019,18:00,Sarah,Kelp catchers
618,06/03/2019,19:00,Sarah,Kelp catchers
619,06/03/2019,20:00,Pertunia,Kelp catchers
620,06/03/2019,20:00,Pertunia,After Drumfilter
