"","Sample","Date","Time","Counted.by","Site","DO..mg.L.","Saturation....","Temperature...C.","N","NH3.N","NH4.N","pH","NO2","PO4","X","Species","Classification","Threat","Cells.Counted","Frames.counted","Total.Count"
"1865",1024,"29/03/2019","11:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prorocentrum gracile","Dinoflagellate","","4",20,1000
"1866",1024,"29/03/2019","11:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium diabolum","Dinoflagellate","","1",20,250
"1867",1024,"29/03/2019","11:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Octactis","Dictyochophyceae","","1",20,250
"1868",1024,"29/03/2019","11:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium divergens","Dinoflagellate","","1",20,250
"1869",1024,"29/03/2019","11:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium conicum","Dinoflagellate","","5",20,1250
"1870",1024,"29/03/2019","11:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prorocentrum micans","Dinoflagellate","","232",20,58000
"1871",1024,"29/03/2019","11:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate","","16",20,4000
"1872",1024,"29/03/2019","11:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate","","17",20,4250
"1873",1024,"29/03/2019","11:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","114",20,28500
"1874",1025,"29/03/2019","11:00:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium fusus","Dinoflagellate","","2",20,500
"1875",1025,"29/03/2019","11:00:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prorocentrum micans","Dinoflagellate","","208",20,52000
"1876",1025,"29/03/2019","11:00:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate","","6",20,1500
"1877",1025,"29/03/2019","11:00:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium diabolum","Dinoflagellate","","1",20,250
"1878",1025,"29/03/2019","11:00:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium conicum","Dinoflagellate","","8",20,2000
"1879",1025,"29/03/2019","11:00:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium fusus","Dinoflagellate","","5",20,1250
"1880",1025,"29/03/2019","11:00:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prorocentrum micans","Dinoflagellate","","51",20,12750
"1881",1025,"29/03/2019","11:00:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate","","20",20,5000
"1882",1025,"29/03/2019","11:00:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","112",20,28000
"1883",1025,"29/03/2019","11:00:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate","","10",20,2500
"1884",1025,"29/03/2019","11:00:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prorocentrum gracile","Dinoflagellate","","4",20,1000
"1885",1025,"29/03/2019","11:00:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","24",20,6000
"1886",1026,"29/03/2019","12:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium fusus","Dinoflagellate","","2",20,500
"1887",1026,"29/03/2019","12:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium conicum","Dinoflagellate","","1",20,250
"1888",1026,"29/03/2019","12:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","60",20,15000
"1889",1026,"29/03/2019","12:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate","","9",20,2250
"1890",1026,"29/03/2019","12:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prorocentrum micans","Dinoflagellate","","122",20,30500
"1891",1027,"29/03/2019","12:00:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prorocentrum micans","Dinoflagellate","","168",20,42000
"1892",1027,"29/03/2019","12:00:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","96",20,24000
"1893",1027,"29/03/2019","12:00:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium fusus","Dinoflagellate","","4",20,1000
"1894",1027,"29/03/2019","12:00:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate","","18",20,4500
"1895",1027,"29/03/2019","12:00:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium conicum","Dinoflagellate","","4",20,1000
"1896",1033,"29/03/2019","16:45:00","Sarah","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","467",10,233500
"1897",1033,"29/03/2019","16:45:00","Sarah","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","103",10,51500
"1898",1034,"29/03/2019","18:00:00","Sarah","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","1409",20,352250
"1899",1035,"29/03/2019","18:00:00","Sarah","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","1600",20,400000
"1900",1036,"29/03/2019","20:00:00","Sarah","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","385",20,96250
"1901",1038,"29/03/2019","21:15:00","Sarah","Bergsig","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","758",20,189500
"1902",1039,"29/03/2019","21:15:00","Sarah","Seaview","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","233",20,58250
"1903",1040,"29/03/2019","22:00:00","Sarah","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","15",20,3750
"1904",1041,"29/03/2019","22:00:00","Sarah","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","12",20,3000
"1905",1042,"30/03/2019","07:30:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","142",10,71000
"1906",1043,"30/03/2019","07:30:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium diabolum","Dinoflagellate","","3",20,750
"1907",1043,"30/03/2019","07:30:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","","116",20,29000
"1908",1043,"30/03/2019","07:30:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dinophysis acuminata","Dinoflagellate","","2",20,500
"1909",1043,"30/03/2019","07:30:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium oceanicum","Dinoflagellate","","2",20,500
"1910",1043,"30/03/2019","07:30:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","40",10,20000
"1911",1043,"30/03/2019","07:30:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate","","97",20,24250
