"","Sample","Date","Time","Counted.by","Site","DO..mg.L.","Saturation....","Temperature...C.","N","NH3.N","NH4.N","pH","NO2","PO4","X","Species","Classification","Threat","Cells.Counted","Frames.counted","Total.Count"
"1819",1012,"28/03/2019","20:00:00","Sarah","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate","","16",20,4000
"1820",1014,"28/03/2019","21:00:00","Sarah","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prorocentrum micans","Dinoflagellate","","95",20,23750
"1821",1014,"28/03/2019","21:00:00","Sarah","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate","","23",20,5750
"1822",1014,"28/03/2019","21:00:00","Sarah","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","","95",20,23750
"1823",1014,"28/03/2019","21:00:00","Sarah","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium diabolum","Dinoflagellate","","2",20,500
"1824",1017,"28/03/2019","22:00:00","Sarah","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium diabolum","Dinoflagellate","","5",20,1250
"1825",1017,"28/03/2019","22:00:00","Sarah","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prorocentrum micans","Dinoflagellate","","86",20,21500
"1826",1017,"28/03/2019","22:00:00","Sarah","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium conicum","Dinoflagellate","","1",20,250
"1827",1017,"28/03/2019","22:00:00","Sarah","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate","","26",20,6500
"1828",1017,"28/03/2019","22:00:00","Sarah","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","","120",20,30000
"1829",1019,"28/03/2019","23:00:00","Sarah","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","","80",20,20000
"1830",1019,"28/03/2019","23:00:00","Sarah","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prorocentrum micans","Dinoflagellate","","102",20,25500
"1831",1019,"28/03/2019","23:00:00","Sarah","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate","","22",20,5500
"1832",1020,"29/03/2019","07:40:00","Pertunia","Primary sump","",NA,14,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium divergens","Dinoflagellate","","6",20,1500
"1833",1020,"29/03/2019","07:40:00","Pertunia","Primary sump","",NA,14,NA,NA,NA,NA,NA,NA,NA,"Cyst","Various","","2",20,500
"1834",1020,"29/03/2019","07:40:00","Pertunia","Primary sump","",NA,14,NA,NA,NA,NA,NA,NA,NA,"Ceratium fusus","Dinoflagellate","","1",20,250
"1835",1020,"29/03/2019","07:40:00","Pertunia","Primary sump","",NA,14,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","294",20,73500
"1836",1020,"29/03/2019","07:40:00","Pertunia","Primary sump","",NA,14,NA,NA,NA,NA,NA,NA,NA,"Prorocentrum micans","Dinoflagellate","","455",20,113750
"1837",1020,"29/03/2019","07:40:00","Pertunia","Primary sump","",NA,14,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate","","72",20,18000
"1838",1020,"29/03/2019","07:40:00","Pertunia","Primary sump","",NA,14,NA,NA,NA,NA,NA,NA,NA,"Karenia cristata","Dinoflagellate","","1",20,250
"1839",1020,"29/03/2019","07:40:00","Pertunia","Primary sump","",NA,14,NA,NA,NA,NA,NA,NA,NA,"Ceratium dens","Dinoflagellate","","1",20,250
"1840",1020,"29/03/2019","07:40:00","Pertunia","Primary sump","",NA,14,NA,NA,NA,NA,NA,NA,NA,"Licmophora","Diatom","","3",20,750
"1841",1021,"29/03/2019","07:40:00","Pertunia","After Drumfilter","",NA,15,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate","","13",20,3250
"1842",1021,"29/03/2019","07:40:00","Pertunia","After Drumfilter","",NA,15,NA,NA,NA,NA,NA,NA,NA,"Cyst","Various","","2",20,500
"1843",1021,"29/03/2019","07:40:00","Pertunia","After Drumfilter","",NA,15,NA,NA,NA,NA,NA,NA,NA,"Prorocentrum micans","Dinoflagellate","","121",20,30250
"1844",1021,"29/03/2019","07:40:00","Pertunia","After Drumfilter","",NA,15,NA,NA,NA,NA,NA,NA,NA,"Ceratium fusus","Dinoflagellate","","3",20,750
"1845",1021,"29/03/2019","07:40:00","Pertunia","After Drumfilter","",NA,15,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","","51",20,12750
"1846",1022,"29/03/2019","09:30:00","Pertunia","Primary sump","",NA,14,NA,NA,NA,NA,NA,NA,NA,"Karenia cristata","Dinoflagellate","","1",20,250
"1847",1022,"29/03/2019","09:30:00","Pertunia","Primary sump","",NA,14,NA,NA,NA,NA,NA,NA,NA,"Ceratium fusus","Dinoflagellate","","4",20,1000
"1848",1022,"29/03/2019","09:30:00","Pertunia","Primary sump","",NA,14,NA,NA,NA,NA,NA,NA,NA,"Cyst","Various","","1",20,250
"1849",1022,"29/03/2019","09:30:00","Pertunia","Primary sump","",NA,14,NA,NA,NA,NA,NA,NA,NA,"Ceratium dens","Dinoflagellate","","1",20,250
"1850",1022,"29/03/2019","09:30:00","Pertunia","Primary sump","",NA,14,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate","","38",20,9500
"1851",1022,"29/03/2019","09:30:00","Pertunia","Primary sump","",NA,14,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium diabolum","Dinoflagellate","","1",20,250
"1852",1022,"29/03/2019","09:30:00","Pertunia","Primary sump","",NA,14,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","234",20,58500
"1853",1022,"29/03/2019","09:30:00","Pertunia","Primary sump","",NA,14,NA,NA,NA,NA,NA,NA,NA,"Prorocentrum micans","Dinoflagellate","","529",20,132250
"1854",1022,"29/03/2019","09:30:00","Pertunia","Primary sump","",NA,14,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium divergens","Dinoflagellate","","7",20,1750
"1855",1022,"29/03/2019","09:30:00","Pertunia","Primary sump","",NA,14,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate","","15",20,3750
"1856",1022,"29/03/2019","09:30:00","Pertunia","Primary sump","",NA,14,NA,NA,NA,NA,NA,NA,NA,"Licmophora","Diatom","","1",20,250
"1857",1023,"29/03/2019","09:30:00","Pertunia","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prorocentrum micans","Dinoflagellate","","4",20,1000
"1858",1023,"29/03/2019","09:30:00","Pertunia","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","45",20,11250
"1859",1023,"29/03/2019","09:30:00","Pertunia","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium fusus","Dinoflagellate","","4",20,1000
"1860",1023,"29/03/2019","09:30:00","Pertunia","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium divergens","Dinoflagellate","","2",20,500
"1861",1023,"29/03/2019","09:30:00","Pertunia","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Licmophora","Diatom","","1",20,250
"1862",1023,"29/03/2019","09:30:00","Pertunia","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate","","4",20,1000
"1863",1023,"29/03/2019","09:30:00","Pertunia","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate","","5",20,1250
"1864",1024,"29/03/2019","11:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium fusus","Dinoflagellate","","1",20,250
