"","Sample","Date","Time","Counted.by","Site"
"160",18,"23/01/2019","08:00","Pertunia","Primary sump"
"161",19,"24/01/2019","08:00","Pertunia","Primary sump"
"162",19,"24/01/2019","08:00","Pertunia","Primary sump"
"163",19,"24/01/2019","08:00","Pertunia","Primary sump"
"164",19,"24/01/2019","08:00","Pertunia","Primary sump"
"165",19,"24/01/2019","08:00","Pertunia","Primary sump"
"166",19,"24/01/2019","08:00","Pertunia","Primary sump"
"167",19,"24/01/2019","08:00","Pertunia","Primary sump"
"168",19,"24/01/2019","08:00","Pertunia","Primary sump"
"169",19,"24/01/2019","08:00","Pertunia","Primary sump"
"170",19,"24/01/2019","08:00","Pertunia","Primary sump"
"171",19,"24/01/2019","08:00","Pertunia","Primary sump"
"172",19,"24/01/2019","08:00","Pertunia","Primary sump"
"173",20,"24/01/2019","15:09","Pertunia","Primary sump"
"174",20,"24/01/2019","15:09","Pertunia","Primary sump"
"175",20,"24/01/2019","15:09","Pertunia","Primary sump"
"176",20,"24/01/2019","15:09","Pertunia","Primary sump"
"177",20,"24/01/2019","15:09","Pertunia","Primary sump"
"178",20,"24/01/2019","15:09","Pertunia","Primary sump"
"179",20,"24/01/2019","15:09","Pertunia","Primary sump"
"180",20,"24/01/2019","15:09","Pertunia","Primary sump"
"181",20,"24/01/2019","15:09","Pertunia","Primary sump"
"182",20,"24/01/2019","15:09","Pertunia","Primary sump"
"183",20,"24/01/2019","15:09","Pertunia","Primary sump"
"184",20,"24/01/2019","15:09","Pertunia","Primary sump"
"185",20,"24/01/2019","15:09","Pertunia","Primary sump"
"186",21,"25/01/2019","08:16","Pertunia","Primary sump"
"187",21,"25/01/2019","08:16","Pertunia","Primary sump"
"188",21,"25/01/2019","08:16","Pertunia","Primary sump"
"189",21,"25/01/2019","08:16","Pertunia","Primary sump"
"190",21,"25/01/2019","08:16","Pertunia","Primary sump"
"191",21,"25/01/2019","08:16","Pertunia","Primary sump"
"192",21,"25/01/2019","08:16","Pertunia","Primary sump"
"193",21,"25/01/2019","08:16","Pertunia","Primary sump"
"194",21,"25/01/2019","08:16","Pertunia","Primary sump"
"195",21,"25/01/2019","08:16","Pertunia","Primary sump"
"196",21,"25/01/2019","08:16","Pertunia","Primary sump"
"197",21,"25/01/2019","08:16","Pertunia","Primary sump"
"198",21,"25/01/2019","08:16","Pertunia","Primary sump"
"199",21,"25/01/2019","08:16","Pertunia","Primary sump"
"200",22,"25/01/2019","10:41","Pertunia","Primary sump"
"201",22,"25/01/2019","10:41","Pertunia","Primary sump"
"202",22,"25/01/2019","10:41","Pertunia","Primary sump"
"203",22,"25/01/2019","10:41","Pertunia","Primary sump"
"204",22,"25/01/2019","10:41","Pertunia","Primary sump"
"205",22,"25/01/2019","10:41","Pertunia","Primary sump"
"206",22,"25/01/2019","10:41","Pertunia","Primary sump"
"207",22,"25/01/2019","10:41","Pertunia","Primary sump"
"208",22,"25/01/2019","10:41","Pertunia","Primary sump"
"209",22,"25/01/2019","10:41","Pertunia","Primary sump"
"210",23,"25/01/2019","12:23","Pertunia","Primary sump"
"211",23,"25/01/2019","12:23","Pertunia","Primary sump"
"212",23,"25/01/2019","12:23","Pertunia","Primary sump"
"213",23,"25/01/2019","12:23","Pertunia","Primary sump"
"214",23,"25/01/2019","12:23","Pertunia","Primary sump"
"215",23,"25/01/2019","12:23","Pertunia","Primary sump"
"216",23,"25/01/2019","12:23","Pertunia","Primary sump"
"217",23,"25/01/2019","12:23","Pertunia","Primary sump"
"218",23,"25/01/2019","12:23","Pertunia","Primary sump"
"219",23,"25/01/2019","12:23","Pertunia","Primary sump"
"220",24,"26/01/2019","08:36","Pertunia","Primary sump"
"221",24,"26/01/2019","08:36","Pertunia","Primary sump"
"222",24,"26/01/2019","08:36","Pertunia","Primary sump"
"223",24,"26/01/2019","08:36","Pertunia","Primary sump"
"224",24,"26/01/2019","08:36","Pertunia","Primary sump"
"225",24,"26/01/2019","08:36","Pertunia","Primary sump"
"226",24,"26/01/2019","08:36","Pertunia","Primary sump"
"227",25,"26/01/2019","13:47","Pertunia","Primary sump"
"228",25,"26/01/2019","13:47","Pertunia","Primary sump"
"229",25,"26/01/2019","13:47","Pertunia","Primary sump"
"230",25,"26/01/2019","13:47","Pertunia","Primary sump"
"231",25,"26/01/2019","13:47","Pertunia","Primary sump"
"232",26,"26/01/2019","16:52","Pertunia","Primary sump"
"233",26,"26/01/2019","16:52","Pertunia","Primary sump"
"234",26,"26/01/2019","16:52","Pertunia","Primary sump"
"235",26,"26/01/2019","16:52","Pertunia","Primary sump"
"236",27,"27/01/2019","08:00","Pertunia","Primary sump"
"237",27,"27/01/2019","08:00","Pertunia","Primary sump"
"238",27,"27/01/2019","08:00","Pertunia","Primary sump"
"239",27,"27/01/2019","08:00","Pertunia","Primary sump"
"240",27,"27/01/2019","08:00","Pertunia","Primary sump"
"241",27,"27/01/2019","08:00","Pertunia","Primary sump"
"242",27,"27/01/2019","08:00","Pertunia","Primary sump"
"243",27,"27/01/2019","08:00","Pertunia","Primary sump"
"244",27,"27/01/2019","08:00","Pertunia","Primary sump"
"245",28,"27/01/2019","14:00","Pertunia","Primary sump"
"246",28,"27/01/2019","14:00","Pertunia","Primary sump"
"247",28,"27/01/2019","14:00","Pertunia","Primary sump"
"248",28,"27/01/2019","14:00","Pertunia","Primary sump"
"249",28,"27/01/2019","14:00","Pertunia","Primary sump"
"250",28,"27/01/2019","14:00","Pertunia","Primary sump"
"251",28,"27/01/2019","14:00","Pertunia","Primary sump"
"252",28,"27/01/2019","14:00","Pertunia","Primary sump"
"253",29,"27/01/2019","17:20","Pertunia","Primary sump"
"254",29,"27/01/2019","17:20","Pertunia","Primary sump"
"255",29,"27/01/2019","17:20","Pertunia","Primary sump"
"256",29,"27/01/2019","17:20","Pertunia","Primary sump"
"257",29,"27/01/2019","17:20","Pertunia","Primary sump"
"258",29,"27/01/2019","17:20","Pertunia","Primary sump"
"259",29,"27/01/2019","17:20","Pertunia","Primary sump"
"260",30,"28/01/2019","08:00","Pertunia","Primary sump"
"261",30,"28/01/2019","08:00","Pertunia","Primary sump"
"262",30,"28/01/2019","08:00","Pertunia","Primary sump"
"263",30,"28/01/2019","08:00","Pertunia","Primary sump"
"264",30,"28/01/2019","08:00","Pertunia","Primary sump"
"265",30,"28/01/2019","08:00","Pertunia","Primary sump"
"266",31,"29/01/2019","08:00","Pertunia","Primary sump"
"267",31,"29/01/2019","08:00","Pertunia","Primary sump"
"268",31,"29/01/2019","08:00","Pertunia","Primary sump"
"269",31,"29/01/2019","08:00","Pertunia","Primary sump"
"270",31,"29/01/2019","08:00","Pertunia","Primary sump"
"271",31,"29/01/2019","08:00","Pertunia","Primary sump"
"272",31,"29/01/2019","08:00","Pertunia","Primary sump"
"273",32,"30/01/2019","08:00","Lorna","Primary sump"
"274",32,"30/01/2019","08:00","Lorna","Primary sump"
"275",32,"30/01/2019","08:00","Lorna","Primary sump"
"276",32,"30/01/2019","08:00","Lorna","Primary sump"
"277",32,"30/01/2019","08:00","Lorna","Primary sump"
"278",32,"30/01/2019","08:00","Lorna","Primary sump"
"279",32,"30/01/2019","08:00","Lorna","Primary sump"
"280",32,"30/01/2019","08:00","Lorna","Primary sump"
"281",33,"30/01/2019","15:44","Pertunia","Primary sump"
"282",33,"30/01/2019","15:44","Pertunia","Primary sump"
"283",33,"30/01/2019","15:44","Pertunia","Primary sump"
"284",33,"30/01/2019","15:44","Pertunia","Primary sump"
"285",33,"30/01/2019","15:44","Pertunia","Primary sump"
"286",33,"30/01/2019","15:44","Pertunia","Primary sump"
"287",34,"31/01/2019","08:00","Pertunia","Primary sump"
"288",34,"31/01/2019","08:00","Pertunia","Primary sump"
"289",34,"31/01/2019","08:00","Pertunia","Primary sump"
"290",34,"31/01/2019","08:00","Pertunia","Primary sump"
"291",34,"31/01/2019","08:00","Pertunia","Primary sump"
"292",34,"31/01/2019","08:00","Pertunia","Primary sump"
"293",34,"31/01/2019","08:00","Pertunia","Primary sump"
"294",34,"31/01/2019","08:00","Pertunia","Primary sump"
"295",34,"31/01/2019","08:00","Pertunia","Primary sump"
"296",35,"31/01/2019","13:30","Pertunia","Primary sump"
"297",35,"31/01/2019","13:30","Pertunia","Primary sump"
"298",35,"31/01/2019","13:30","Pertunia","Primary sump"
"299",35,"31/01/2019","13:30","Pertunia","Primary sump"
"300",35,"31/01/2019","13:30","Pertunia","Primary sump"
"301",35,"31/01/2019","13:30","Pertunia","Primary sump"
"302",35,"31/01/2019","13:30","Pertunia","Primary sump"
"303",35,"31/01/2019","13:30","Pertunia","Primary sump"
"304",35,"31/01/2019","13:30","Pertunia","Primary sump"
"305",35,"31/01/2019","13:30","Pertunia","Primary sump"
"306",35,"31/01/2019","13:30","Pertunia","Primary sump"
"307",36,"31/01/2019","17:00","Pertunia","Primary sump"
"308",36,"31/01/2019","17:00","Pertunia","Primary sump"
"309",36,"31/01/2019","17:00","Pertunia","Primary sump"
"310",36,"31/01/2019","17:00","Pertunia","Primary sump"
"311",36,"31/01/2019","17:00","Pertunia","Primary sump"
"312",36,"31/01/2019","17:00","Pertunia","Primary sump"
"313",36,"31/01/2019","17:00","Pertunia","Primary sump"
"314",36,"31/01/2019","17:00","Pertunia","Primary sump"
"315",36,"31/01/2019","17:00","Pertunia","Primary sump"
"316",36,"31/01/2019","17:00","Pertunia","Primary sump"
"317",36,"31/01/2019","17:00","Pertunia","Primary sump"
"318",37,"01/02/2019","08:00","Pertunia","Primary sump"
"319",37,"01/02/2019","08:00","Pertunia","Primary sump"
"320",37,"01/02/2019","08:00","Pertunia","Primary sump"
"321",37,"01/02/2019","08:00","Pertunia","Primary sump"
