"","RowCode","Date","Time","Counted.by.","Site","Volume.Filtered..ml.","Frames.counted","Volume.counted","Volume.counted_all","Species","Cells.Counted","Cells.L","SRC_method","Correct.Original","Div.Src.by.this","Classification","dateTime","months","month","year","Season","YEarMonth","SeasonOrder","totalCells","RedTide","FWC_mod"
"70",70,2017-01-16,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Chaetoceros sp.","4",38,952.3809524,952,"25","Diatom",2017-01-16 08:00:00,"January",1,"2017","Summer",Jan 2017,1,57883.7777777778,"Low (B)","Low"
"71",71,2017-01-16,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Ceratium furca","166",1581,39523.80952,39524,"25","Dinoflagellate",2017-01-16 08:00:00,"January",1,"2017","Summer",Jan 2017,1,57883.7777777778,"Low (B)","Low"
"72",72,2017-01-16,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Gonyaulax polygramma","1319",12562,314047.619,314048,"25","Dinoflagellate",2017-01-16 08:00:00,"January",1,"2017","Summer",Jan 2017,1,57883.7777777778,"Low (B)","Low"
"73",73,2017-01-16,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Gonyaulax spinifera","21",200,5000,5000,"25","Dinoflagellate",2017-01-16 08:00:00,"January",1,"2017","Summer",Jan 2017,1,57883.7777777778,"Low (B)","Low"
"74",74,2017-01-16,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Protoperidinium conicum","394",3752,93809.52381,93810,"25","Dinoflagellate",2017-01-16 08:00:00,"January",1,"2017","Summer",Jan 2017,1,57883.7777777778,"Low (B)","Low"
"75",75,2017-01-16,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Scrippsiella trochoidea","19",181,4523.809524,4524,"25","Dinoflagellate",2017-01-16 08:00:00,"January",1,"2017","Summer",Jan 2017,1,57883.7777777778,"Low (B)","Low"
"76",76,2017-01-16,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Zigabikodinium denticulatum","21",200,5000,5000,"25","Dinoflagellate",2017-01-16 08:00:00,"January",1,"2017","Summer",Jan 2017,1,57883.7777777778,"Low (B)","Low"
"77",77,2017-01-16,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Protoperidinium oceanicum","18",171,4285.714286,4286,"25","Dinoflagellate",2017-01-16 08:00:00,"January",1,"2017","Summer",Jan 2017,1,57883.7777777778,"Low (B)","Low"
"78",78,2017-01-16,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Lingulodinium polyedra","226",2152,53809.52381,53810,"25","Dinoflagellate",2017-01-16 08:00:00,"January",1,"2017","Summer",Jan 2017,1,57883.7777777778,"Low (B)","Low"
"79",79,2017-01-17,"08:00","Lorna","Primary sump",5000,24,0.024,0.024,"Chaetoceros sp.","1",8,208.3333333,208,"25","Diatom",2017-01-17 08:00:00,"January",1,"2017","Summer",Jan 2017,1,16093.6666666667,"Low (A)","Low"
"80",80,2017-01-17,"08:00","Lorna","Primary sump",5000,24,0.024,0.024,"Ceratium furca","110",917,22916.66667,22917,"25","Dinoflagellate",2017-01-17 08:00:00,"January",1,"2017","Summer",Jan 2017,1,16093.6666666667,"Low (A)","Low"
"81",81,2017-01-17,"08:00","Lorna","Primary sump",5000,24,0.024,0.024,"Ceratium tripos","1",8,208.3333333,208,"25","Dinoflagellate",2017-01-17 08:00:00,"January",1,"2017","Summer",Jan 2017,1,16093.6666666667,"Low (A)","Low"
"82",82,2017-01-17,"08:00","Lorna","Primary sump",5000,24,0.024,0.024,"Gonyaulax polygramma","496",4133,103333.3333,103333,"25","Dinoflagellate",2017-01-17 08:00:00,"January",1,"2017","Summer",Jan 2017,1,16093.6666666667,"Low (A)","Low"
